,id,symbol,period,interval,start_at,open_time,volume,open,high,low,close,turnover
17984,60886743,SANDUSDT,30,30,1650398400,1650398400,175267,2.8979,2.8979,2.8717,2.8888,505398.9942
17985,60894494,SANDUSDT,30,30,1650400200,1650400200,158285,2.8888,2.89,2.8715,2.8848,455521.9406
17986,60902654,SANDUSDT,30,30,1650402000,1650402000,100302,2.8848,2.8936,2.8756,2.8896,289230.6782
17987,60910032,SANDUSDT,30,30,1650403800,1650403800,96612,2.8896,2.8915,2.8765,2.8789,278631.7344
17988,60917870,SANDUSDT,30,30,1650405600,1650405600,64835,2.8789,2.8903,2.8727,2.8863,186792.5918
17989,60925601,SANDUSDT,30,30,1650407400,1650407400,115971,2.8863,2.9,2.8835,2.8918,335615.1422
17990,60933397,SANDUSDT,30,30,1650409200,1650409200,515510,2.8918,2.9387,2.8915,2.9324,1502181.5848
17991,60940908,SANDUSDT,30,30,1650411000,1650411000,562766,2.9324,2.9516,2.9166,2.9222,1649365.2166
17992,60949448,SANDUSDT,30,30,1650412800,1650412800,1306197,2.9222,2.9867,2.8773,2.9018,3829435.1362
17993,60957168,SANDUSDT,30,30,1650414600,1650414600,584937,2.9018,2.9647,2.9018,2.9342,1722020.9363
17994,60964838,SANDUSDT,30,30,1650416400,1650416400,568544,2.9342,2.987,2.9074,2.987,1675991.1159
17995,60972462,SANDUSDT,30,30,1650418200,1650418200,722102,2.987,3.0092,2.9734,2.98,2158508.1787
17996,60980677,SANDUSDT,30,30,1650420000,1650420000,1105444,2.98,3.0446,2.9559,3.0271,3321277.3774
17997,60988200,SANDUSDT,30,30,1650421800,1650421800,1907624,3.0271,3.0961,3.0271,3.0405,5841730.5802
17998,60996149,SANDUSDT,30,30,1650423600,1650423600,984223,3.0405,3.0526,3.0188,3.0371,2989242.4934
17999,61003640,SANDUSDT,30,30,1650425400,1650425400,923193,3.0371,3.0564,3.0033,3.0127,2793134.5529
18040,61011896,SANDUSDT,30,30,1650427200,1650427200,691866,3.0127,3.0283,2.9999,3.0045,2086263.4381
18041,61019117,SANDUSDT,30,30,1650429000,1650429000,662417,3.0045,3.006,2.9748,2.9903,1979847.7388
18042,61027025,SANDUSDT,30,30,1650430800,1650430800,597676,2.9903,3.0157,2.9805,3.0087,1789035.1389
18043,61034498,SANDUSDT,30,30,1650432600,1650432600,339068,3.0087,3.0136,2.985,2.9952,1017089.7799
18044,61042444,SANDUSDT,30,30,1650434400,1650434400,154564,2.9952,3.0154,2.9914,3.005,464470.8007
18045,61050532,SANDUSDT,30,30,1650436200,1650436200,235593,3.005,3.009,2.9889,3.009,705905.8791
18046,61057936,SANDUSDT,30,30,1650438000,1650438000,485832,3.009,3.0192,2.96,2.9753,1452497.3595
18047,61065603,SANDUSDT,30,30,1650439800,1650439800,199711,2.9753,2.9912,2.9751,2.9858,595961.1523
18048,61073521,SANDUSDT,30,30,1650441600,1650441600,151700,2.9858,2.9884,2.97,2.97,452318.3734
18049,61081275,SANDUSDT,30,30,1650443400,1650443400,367059,2.97,2.9784,2.9521,2.9733,1089799.6285
18050,61089022,SANDUSDT,30,30,1650445200,1650445200,307894,2.9733,3.0004,2.9671,2.9969,918145.1306
18051,61096781,SANDUSDT,30,30,1650447000,1650447000,396684,2.9969,3.001,2.9634,2.98,1184605.6969
18052,61104872,SANDUSDT,30,30,1650448800,1650448800,390826,2.98,3.0096,2.9609,3.0034,1169081.9228
18053,61112288,SANDUSDT,30,30,1650450600,1650450600,506219,3.0034,3.0233,2.9849,3.0184,1520488.6324
18054,61119932,SANDUSDT,30,30,1650452400,1650452400,426245,3.0184,3.0314,3.0002,3.0208,1285858.8273
18055,61127761,SANDUSDT,30,30,1650454200,1650454200,567977,3.0208,3.0308,3.0035,3.0145,1714569.0413
18056,61136502,SANDUSDT,30,30,1650456000,1650456000,520305,3.0145,3.0181,2.9769,2.9993,1557651.4557
